Colo Colo;Estadio Monumental;-33.506611;-70.605944
Unión Española;Santa Laura;-33.404553;-70.659017
Universidad de Chile;Nacional;-33.464522;-70.610586
Everton;Sausalito;-33.014397;-71.535233
Audax Italiano;Bicentenario de La Florida;-33.540833;-70.578333
Deportes Temuco;Germán Becker;-38.742778;-72.619722
Deportes Antofagasta;Regional Calvo y Bascuñán;-23.670139;-70.404583
Curicó Unido;La Granja;-34.974356;-71.230707
San Luis;Municipal Lucio Fariña Fernández;-32.8876;-71.252
U. de Concepción;Municipal de Concepción;-36.815278;-73.023333
Universidad Católica;San Carlos de Apoquindo;-33.395944;-70.500656
Huachipato;Huachipato-CAP Acero;-36.755556;-73.107222
Santiago Wanderers;Elías Figueroa Brander;-33.022278;-71.64
O'Higgins;El Teniente;-34.177764;-70.737719
Palestino;Municipal de La Cisterna;-33.520833;-70.672778
Deportes Iquique;Tierra de Campeones;-20.242413;-70.132937
